website,item,product,time,price
MediaMarkt,steelstofzuiger,DYSON V11 Absolute Extra Blauw,2021-07-14 05:38:26,549.0
MediaMarkt,steelstofzuiger,DYSON V8 Absolute + Geel,2021-07-14 05:38:26,349.0
MediaMarkt,steelstofzuiger,DYSON V11 Animal Extra Paars,2021-07-14 05:38:26,499.0
MediaMarkt,steelstofzuiger,PHILIPS XC7041/01 Brons,2021-07-14 05:38:26,284.99
MediaMarkt,steelstofzuiger,ROWENTA Air Force Flex 760 Total Clean RH9571 Blauw,2021-07-14 05:38:26,399.95
MediaMarkt,steelstofzuiger,BOSCH BCHF220B Readyy'y Serie 2 Zwart,2021-07-14 05:38:26,169.0
MediaMarkt,vaatwasser,BEKO DFN26320X2MM,2021-07-14 05:38:47,399.0
MediaMarkt,vaatwasser,SAMSUNG DW60M6040BB,2021-07-14 05:38:47,439.0
MediaMarkt,vaatwasser,SHARP QWNA1BF47EWEU,2021-07-14 05:38:48,329.0
MediaMarkt,vaatwasser,AEG FSB52617Z,2021-07-14 05:38:48,499.0
MediaMarkt,vaatwasser,OK. ODW6016EFS,2021-07-14 05:38:48,289.99
MediaMarkt,vaatwasser,BOSCH SMS46JW18E,2021-07-14 05:38:48,599.0
MediaMarkt,printer,EPSON Expression Home XP-3105,2021-07-14 05:39:05,69.99
MediaMarkt,printer,FUJIFILM INSTAX MINI FILM 5X10 SHOTS,2021-07-14 05:39:05,34.99
MediaMarkt,printer,CANON PRINT PAPIER PRINT & COPY A4 80 G/M,2021-07-14 05:39:05,4.99
MediaMarkt,printer,CANON PIXMA TS5150 Zwart,2021-07-14 05:39:05,79.0
MediaMarkt,printer,HP Smart Tank Plus 555 All-in-One,2021-07-14 05:39:05,199.0
MediaMarkt,printer,HP DeskJet 2721e,2021-07-14 05:39:05,69.99
MediaMarkt,printer,HP HP ENVY 6032e All-in-One,2021-07-14 05:39:05,89.99
MediaMarkt,printer,CANON PIXMA G3501 Megatank,2021-07-14 05:39:05,199.99
MediaMarkt,printer,EPSON EcoTank ET-2721,2021-07-14 05:39:05,219.0
MediaMarkt,printer,CANON PIXMA TS7451 - Wit,2021-07-14 05:39:05,109.0
